sunda,id
wae,aja
moal,tidak mau
kitu,gitu
anyar,baru
butut,jelek
barutut,jelek
geus,sudah
teu,tidak
nyungkeun,minta
bantosan,bantuan
ieu,ini
nya,ya
diantep,di diamkan
dugi,sampai
nutupan,menutupi
sareng,dengan
cik,coba
geura,
saladar,sadar
atuh,
gede,besar
pisan,sekali
miceun,buang
ngejugruk,tergeletak
pabaliut,tidak beraturan
ti,dari
jeung,dan
na,nya
aya,ada
anu,yang
naon,apa
jang,buat
ngeruk,ambil
ceuk,kata
aing,saya
bereskeun,bereskan
heula,dulu
arancur,ancur
modar,mati
peuting,malam
poek,gelap
mun,kalau
sok,
paburasut,berantakan
nanaon,apa apa
marodar,mati
ayeuna,sekarang
euweuh,tidak ada
nu,yang
siga,seperti
jiga,seperti
kuduna,harusnya
kudu,harus
tumaninah,nyaman
rudet,kesal
kolong,bawah
tos,sudah
lami,lama
ka,ke
dugi,sampai
handeueul,menyesal
ari,kalau
ningal,melihat
kotorna,kotornya
wargi,warga
nempo,lihat
can,belum
komo,apalagi
deui,lagi
nyampah,buang sampah
mariceun,membuang
runtah,sampah
lalajo,nonton
hampura,maaf
saukur,sebatas
kanu,pada
rek,mau
daek,mau
tangkal,pohon
garing,kering
ngagigidig,
antep,di diamkan
ninggang,menimpa
jelema,orang
lieur,pusing
paroek,gelap
pararoek,gelap
saeutik,sedikit
kamajuan,kemajuan
beresan,bereskan
pupujieun,ingin disanjung
naha,kenapa
hese,susah
hiji,satu
boga,punya
caricing,diam
cicing,diam
mayar,bayar
paur,bahaya
kaluar,keluar
ka ayaan,keadaan
himpitan,penyempitan
teh,
weh,
moal,tidak akan
barutut,jelek
innalilahi,
apal,tahu
haturnuhun,terima kasih
mah,
punten,maaf
ngaluarkeun,mengeluarkan
kumaha,gimana
lalakon,sandiwara
ngabala,mengotori
enya,iya
abi,saya
abdi,saya
eta,itu
sa alus,sebagus
rada,agak
manawi,barangkali
tiasa,bisa
dibantos,dibantu
da,
mayan,lumayan
kana,terkena
ieu,ini
nguruskeun,mengurus
keneh,masih
aregois,egois
ge,
kacemar,tercemar
susukan,selokan
marulus,mulus
ku,sama
lah,
tempo,lihat
wadah,tempat
runtah,sampah
runtahna,sampahnya
leutik,kecil
lamun,kalau
dina,di
apgred,tingkatkan
kunu,harus
kudu,harus
lewih,lebih
saminggu,seminggu
sabaraha,berapa
loba,banyak
tah,
kantun,tinggal
kantu,tinggal
oge,juga
ungal,tiap
unggal,tiap
meser,beli
wadahmah,tempat
keur,untuk
diarantep,didiamkan
masalahna,masalahnya
mayarna,bayar
hs,
cileupeung,
hirup,hidup
kalahkah,malah
nyieun,membuat
sagala,
ngegantung,menggantung
cc,
meuni,
hoyong,ingin
nakol,pukul
bengsin,bensin
mawa,bawa
jang,untuk
ath,
nanaonan,apa apaan
noh,
sakahayang,semaunya
ngalereskeun,memperbaiki
atawa,atau
uih,pulang
damel,kerja
dukdek,macet
ngadadak,mendadak
masarakat,masyarakat
diuihkeun,dipulanhkan
araya,ada
mangga,silahkan
sarua,sama
langkung,lalu
ngahiliwir,menyengat
napel,nempel
ngalewar,melewat
kadieu,kesini
dahareun,makanan
palaur,takut
kabeulit,kebelit
handap,bawah
patumpuk,bertumpuk
dianttep,di diamkan
ngajeblagh,
tipada,daripada
kikituan,begitu
kajeun,mending
mikiran,berfikir
ketang,
tah,
luhur,atas
nepi,sampai
ngke,nanti
pamingpin,pemimpin
kana,
hoream,malas
naek,naik
hangseur,pesing
sopirna,supirnya
ani,
hareup,depan
lila,lama
ai,jika
diomean,dibetulkan
dibere,diberikan
awis,mahal
meuli,beli
puguh,pasti
hakaneun,makanan
diluhur,diata
karek,baru
benerkeun,benarkan
tambru,ditumpuk
kunu,oleh
micen,buang
isin,malu
ku,sama
ngabugbrug,menumpuk
a,
nyalira,sendiri
nyandak,membawa
sasapuna,menyapu
sanes,bukan
cokor,kaki
kacugak,terinjak
bisi,takut
beuki,semakin
panonna,mata
dul,
ieumah,ini
gawe,kerjaan
ngadon,malah
bancot,
bacot,
acan,belum
ajig,
alus,bagus
ari,jika
asa,sepertinya
awian,bambu
ayeunamah,saat ini
babari,mudah
bade,akan
baham,mulut
balongan,kolam ikan
bari,sambil
barolong,berlubang
belegug,bodoh
beurang,siang hari
caket,dekat
didieu,disini
duitmah,uang
euweuh,tidak ada
garetol,rajin
gelo,gila
ges,sudah
halteu,halte
hanjakal,sangat disayangkan
hayoh,terus menerus
heula,dahulu
jempling,senyap
jeung,dan
kaditukadieu,ke sana kemari
kalakah,malah
katingal,terlihat
kieu,seperti ini
kusabab,sebab
lebak,area bawah
lengkob,lembah
lengeun,tangan
loba,banyak
mah,
maneh,anda
mani,sangat
matak,oleh karena itu
milu,ikut
miriwit,meniup peluit
moal,tidak akan
nambru,berserakan
namina,namanya
nepika,hingga
ngagokan,menghalangi
ngagunung,menggunung
ngakereyehna,mengerjakan
ngalangkung,melewati
ngan,hanya
ngaroda,gerobak
ninggal,melihat
nuju,sedang
nuhuun,terima kasih
nyieun,membuat
ongkoh,padahal
pabalatak,berserakan
pabalieut,rumit
pareum,padam
patunjuktunjuk,saling menunjuk
piraku,mustahil
rarujit,sangat kotor
ripuh,sulit
sabaraha,berapa
sagede,sebesar
sakedeng,sebentar
sampurasun,permisi
sejen,lainnya
sia,anda
siah,
ta,itu
teh,
tepi ka,hingga
teuing,tidak tahu
tiditu,dari sananya
tingali,lihat
tong,jangan
wae,saja
walungan,sungai
ti ditu,dari sananya
sakeudeung,sebentar
sabara,berapa
meni,sangat
mh,
leungeun,tangan
jeng,dan
heuyla,dahulu
geus,sudah
eweuh,tidak ada
dieu,sini
akhirna,akhirnya
kaditu,kesana
acakadut,berantakan
acak,
acakan,berantakan
beuki,semakin
teh,
panonteh,mata
punten,maaf
pisan,sangat
meni,sangat
teu,tidak
tiasa,bisa
tuang,makan
nuhun,terima kasih
mah,
teh,itu
kukulutus,menggerutu
nyegak,menyengat
awur,berserak
aslina,aslinya
auditna,auditnya
ayaan,keadaan
baroga,punya
cacandian,
cangkang,bungkus
dek,
dibereskeun,dibereskan
hujanan,hujan
kamana,kemana
kaayaan,keadaan
keun,
knalpotna,knalpot
maenya,masa
marayar,bayar
menerkeun,membenarkan
nahasi,kenapa
ngurusna,ngurus
ningal,lihat
nungguan,menunggu
numpukna,numpuknya
nyakitu,
nyodorkeun,menyerahkan
paraur,takut
pariksa,periksa
pengelolana,pengelola
rapihkeun,rapikan
raresep,suka
rarungkuan,rimbun
rasakeun,rasakan
sae,bagus
sakalian,sekalian
sakedeng,sebentar
sampahna,sampahnya
solusina,solusinya
tempatna,tempatnya
transportasina,transportasinya
tutupan,tutup
walikotana,walikotanya
we,
innalilahi ,